mentors,mentees,regime,method,trials,lat_mean_s,lat_std_s,lat_p50_s,lat_p90_s,lat_p95_s,lat_p99_s,lat_p95_ci95_low_s,lat_p95_ci95_high_s,unassigned_mean,avg_compat_mean,same_major_pct_mean,ilp_mip_gap_mean,solver,time_limit,mip_gap_target,threads,warm_start,seed,hw_python,hw_platform,hw_processor,hw_machine,hw_python_implementation,hw_cpu_count
100,200,heavy,greedy,30,0.006110629966133274,0.0006537378544914369,0.005934999499004334,0.007050279999748455,0.007331194449579925,0.007578454708600475,0.0068053257475230566,0.007659799997782102,1.1,0.4694058041967386,19.81021944740538,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
100,200,heavy,gale_shapley,30,0.01923325966648311,0.0015761198067816232,0.019219849998989957,0.021326819897876704,0.02149942510004621,0.022229621579972447,0.020542299000226194,0.022490098999696784,1.8333333333333333,0.5601145987917509,39.90557486237336,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
200,400,light,ilp,30,11.09759783170072,0.9192831897058905,11.01986947450132,11.756161541099937,12.176816482550201,14.129716120749256,11.548950465799498,14.844039284998871,0.0,0.7198608651533652,76.66666666666667,0.0,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
200,400,light,greedy,30,0.031670206699952054,0.00562630459511315,0.029827550000845804,0.03816342089921818,0.03906765944884682,0.04810031170916774,0.036924299549536944,0.051495399999112124,0.06666666666666667,0.6380524112845289,57.5265664160401,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
200,400,light,gale_shapley,30,0.14353045369995623,0.022757757914647254,0.13773875000151747,0.1593605209989619,0.1907759165505921,0.22035480231999827,0.15106190120059182,0.22320219399989583,0.16666666666666666,0.7017522727914896,71.62901002506266,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
200,400,medium,ilp,30,9.388867927700145,0.7161410790259088,9.140485422500205,10.319170449698504,10.714528570700166,11.246968064899484,10.057766690598873,11.376220771999215,0.0,0.7069905386742886,74.10833333333333,0.0,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
200,400,medium,greedy,30,0.027869123499961766,0.007306286923852176,0.025809000000663218,0.03304081090063848,0.044430734999696124,0.05197257971005457,0.0295877950016802,0.053902501000266057,0.6666666666666666,0.61720640929009,51.68515111060734,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
200,400,medium,gale_shapley,30,0.11598319700060529,0.015460897545134024,0.1137103000019124,0.13323318919938174,0.1405359415502971,0.15871662542231207,0.12856680000186316,0.16388970400294056,0.4,0.6872068186057293,68.45830247729879,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
200,400,heavy,ilp,30,7.736054552466522,0.4451793979644895,7.6292522240019025,8.153823313600515,8.460543539699573,9.030102725638098,8.06333390469972,9.161507984998025,0.0,0.6590805569430568,61.775,0.0,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
200,400,heavy,greedy,30,0.021015516600042854,0.0022701251341039294,0.020858450001469464,0.024258999998346555,0.02473167889947945,0.02481476641896734,0.02343644993861289,0.0248314999989816,1.5666666666666667,0.5502370242697858,33.08868246582982,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
200,400,heavy,gale_shapley,30,0.07818569663346958,0.006272647023788733,0.07653565000146045,0.0895363534007629,0.09022096919943579,0.09172046028841578,0.08376839999982622,0.09225289999812958,1.7333333333333334,0.6384535882774072,56.19314400284569,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
300,600,light,ilp,30,31.600624765899436,4.719214282833782,29.962961694500336,37.360718930099026,39.92872702279982,44.77650279296806,35.55521552900245,45.97457425599714,0.0,0.74659740990491,79.94444444444444,0.0,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
300,600,light,greedy,30,0.06646995643350237,0.01175436564375305,0.06487379949976457,0.07479315989694442,0.08472857954893694,0.10429246399846308,0.07272472840104456,0.10937859999830835,0.06666666666666667,0.6763244610678742,65.4794565015767,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
300,600,light,gale_shapley,30,0.3636915755670392,0.07279645885557692,0.33946510500027216,0.42340170809911803,0.518971663698903,0.596012386290131,0.3911421880997295,0.6118509970001469,0.16666666666666666,0.7307278023883618,76.22647931738082,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
300,600,medium,ilp,30,24.635654299699915,3.5614675264349147,23.828087227499054,27.454405037601102,28.564298319299446,37.02282226926848,26.168257610999717,40.296230977997766,0.0,0.7380572480297481,79.18333333333332,0.0,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
300,600,medium,greedy,30,0.05608492016690434,0.008165436307909411,0.05427045000033104,0.06466736999900605,0.0700142144502024,0.0808507175810155,0.06050175000073068,0.08389629700104706,0.4,0.6621833965646935,61.86973234841421,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
